"subjects"	"S"	"prime"	"R"	"rt"
"5329"	"1"	"cat"	"MEOW"	"dog"	0.395715983611983
"925"	"1"	"dog"	"MEOW"	"dog"	0.487845922320467
"1741"	"1"	"dog"	"MEOW"	"dog"	0.39289918284338
"1789"	"1"	"dog"	"MEOW"	"cat"	0.856253466573636
"757"	"1"	"dog"	"WOOF"	"dog"	0.439393020502465
"4885"	"1"	"dog"	"WOOF"	"dog"	1.3026294298973
"5221"	"1"	"dog"	"WOOF"	"dog"	0.582990534163574
"457"	"1"	"cat"	"WOOF"	"cat"	0.231429096235438
"2641"	"1"	"cat"	"MEOW"	"dog"	0.280822980576352
"5317"	"1"	"dog"	"WOOF"	"dog"	0.381589051849178
"5101"	"1"	"dog"	"MEOW"	"cat"	0.361223573427508
"2077"	"1"	"dog"	"MEOW"	"dog"	0.499194257835934
"3625"	"1"	"cat"	"WOOF"	"cat"	0.363942476490121
"1909"	"1"	"dog"	"WOOF"	"dog"	0.372599813305056
"4873"	"1"	"cat"	"WOOF"	"cat"	0.272322244349354
"2317"	"1"	"dog"	"MEOW"	"cat"	0.285450579806957
"3373"	"1"	"dog"	"MEOW"	"dog"	0.319768192817869
"4453"	"1"	"dog"	"WOOF"	"dog"	0.559963889120719
"1129"	"1"	"cat"	"WOOF"	"cat"	0.392691108519471
"3073"	"1"	"cat"	"MEOW"	"cat"	0.614920151847069
"5341"	"1"	"dog"	"MEOW"	"cat"	0.403509097103129
"3769"	"1"	"cat"	"WOOF"	"cat"	0.54655956280017
"1093"	"1"	"dog"	"WOOF"	"cat"	0.29857246965911
"4489"	"1"	"cat"	"WOOF"	"cat"	0.231641435914976
"1945"	"1"	"cat"	"WOOF"	"cat"	0.315964996478413
"2857"	"1"	"cat"	"WOOF"	"dog"	0.330682956683342
"13"	"1"	"dog"	"MEOW"	"cat"	0.910519630270208
"817"	"1"	"cat"	"MEOW"	"cat"	0.300367609359555
"4645"	"1"	"dog"	"WOOF"	"cat"	0.291986109178195
"4993"	"1"	"cat"	"MEOW"	"cat"	0.644024117198459
"913"	"1"	"cat"	"MEOW"	"cat"	0.48266429536427
"445"	"1"	"dog"	"MEOW"	"cat"	0.384878585673549
"4465"	"1"	"cat"	"MEOW"	"dog"	0.24562247370409
"3241"	"1"	"cat"	"WOOF"	"cat"	0.253392329076498
"1645"	"1"	"dog"	"MEOW"	"dog"	0.311454120494682
"937"	"1"	"cat"	"WOOF"	"cat"	0.231271106921639
"673"	"1"	"cat"	"MEOW"	"dog"	0.322657156297561
"61"	"1"	"dog"	"MEOW"	"dog"	0.335122399515954
"4909"	"1"	"dog"	"MEOW"	"cat"	0.286565246043929
"4801"	"1"	"cat"	"MEOW"	"cat"	0.589788109259648
"709"	"1"	"dog"	"WOOF"	"cat"	0.632380910288819
"4273"	"1"	"cat"	"MEOW"	"cat"	0.391159421500418
"5161"	"1"	"cat"	"WOOF"	"cat"	0.216910173110907
"1273"	"1"	"cat"	"WOOF"	"cat"	0.219367146654219
"3361"	"1"	"cat"	"MEOW"	"cat"	0.447075141998008
"3421"	"1"	"dog"	"MEOW"	"dog"	0.320536791284617
"961"	"1"	"cat"	"MEOW"	"cat"	0.242437913147073
"1825"	"1"	"cat"	"MEOW"	"cat"	0.362665657345463
"3157"	"1"	"dog"	"WOOF"	"dog"	0.403460681263006
"1045"	"1"	"dog"	"WOOF"	"dog"	0.657091246288508
"4393"	"1"	"cat"	"WOOF"	"cat"	0.26976598628281
"3409"	"1"	"cat"	"MEOW"	"cat"	0.47675333242883
"1765"	"1"	"dog"	"WOOF"	"dog"	0.447597195723594
"2365"	"1"	"dog"	"MEOW"	"cat"	0.374097603521835
"865"	"1"	"cat"	"MEOW"	"dog"	0.287489237032069
"5209"	"1"	"cat"	"WOOF"	"cat"	0.637652139277721
"121"	"1"	"cat"	"WOOF"	"dog"	0.432058730465408
"2557"	"1"	"dog"	"MEOW"	"dog"	0.455629025704252
"2569"	"1"	"cat"	"WOOF"	"dog"	0.37565012094095
"649"	"1"	"cat"	"WOOF"	"dog"	0.45444960536822
"2749"	"1"	"dog"	"MEOW"	"dog"	0.509482407126765
"1801"	"1"	"cat"	"WOOF"	"cat"	0.249696431273887
"3829"	"1"	"dog"	"WOOF"	"dog"	0.72636595951146
"1897"	"1"	"cat"	"WOOF"	"dog"	0.501297257305318
"2233"	"1"	"cat"	"WOOF"	"cat"	0.285767358192879
"5137"	"1"	"cat"	"MEOW"	"cat"	0.700449691441475
"601"	"1"	"cat"	"WOOF"	"cat"	0.433100664830117
"4597"	"1"	"dog"	"WOOF"	"dog"	0.479278014116879
"4621"	"1"	"dog"	"MEOW"	"dog"	0.610688165573398
"2209"	"1"	"cat"	"MEOW"	"dog"	0.524796178373288
"1885"	"1"	"dog"	"MEOW"	"cat"	0.357275318978524
"2677"	"1"	"dog"	"WOOF"	"dog"	0.419476363063454
"745"	"1"	"cat"	"WOOF"	"dog"	0.397727815220277
"3565"	"1"	"dog"	"MEOW"	"dog"	0.5706513771662
"1189"	"1"	"dog"	"WOOF"	"cat"	0.260724817278298
"3481"	"1"	"cat"	"WOOF"	"cat"	0.249481696928717
"1393"	"1"	"cat"	"MEOW"	"cat"	0.239373346648636
"5017"	"1"	"cat"	"WOOF"	"cat"	0.339681389223218
"1057"	"1"	"cat"	"MEOW"	"cat"	0.289416903029772
"565"	"1"	"dog"	"WOOF"	"cat"	0.225331949580467
"2725"	"1"	"dog"	"WOOF"	"cat"	0.349265109513925
"3877"	"1"	"dog"	"WOOF"	"dog"	0.628323439321352
"625"	"1"	"cat"	"MEOW"	"cat"	0.83856180302955
"133"	"1"	"dog"	"WOOF"	"dog"	0.316752876876931
"685"	"1"	"dog"	"MEOW"	"cat"	0.248730277938345
"5401"	"1"	"cat"	"WOOF"	"dog"	0.628829469320104
"169"	"1"	"cat"	"WOOF"	"cat"	0.345231845240528
"1585"	"1"	"cat"	"MEOW"	"dog"	0.986957070680944
"2869"	"1"	"dog"	"WOOF"	"cat"	0.450716875489604
"541"	"1"	"dog"	"MEOW"	"dog"	0.394236131445811
"2821"	"1"	"dog"	"WOOF"	"dog"	0.468437717114717
"1285"	"1"	"dog"	"WOOF"	"cat"	0.239898807599013
"301"	"1"	"dog"	"MEOW"	"dog"	0.346400826693125
"4585"	"1"	"cat"	"WOOF"	"cat"	0.462669562940583
"2605"	"1"	"dog"	"MEOW"	"cat"	0.262862197884228
"4633"	"1"	"cat"	"WOOF"	"cat"	0.254436819229671
"3925"	"1"	"dog"	"WOOF"	"cat"	0.305144334633263
"1693"	"1"	"dog"	"MEOW"	"dog"	0.269786324052922
"2773"	"1"	"dog"	"WOOF"	"cat"	0.493276938483343
"1"	"1"	"cat"	"MEOW"	"dog"	0.453400458419234
"5233"	"1"	"cat"	"MEOW"	"cat"	0.926059729841617
"337"	"1"	"cat"	"MEOW"	"dog"	0.717225537908078
"5077"	"1"	"dog"	"WOOF"	"cat"	0.225882278437737
"385"	"1"	"cat"	"MEOW"	"dog"	0.915718041595201
"2137"	"1"	"cat"	"WOOF"	"cat"	0.265666315307264
"2761"	"1"	"cat"	"WOOF"	"dog"	0.371896788324768
"589"	"1"	"dog"	"MEOW"	"dog"	0.21823866111868
"289"	"1"	"cat"	"MEOW"	"dog"	0.230325636079561
"2629"	"1"	"dog"	"WOOF"	"dog"	0.400712843896307
"4753"	"1"	"cat"	"MEOW"	"cat"	0.654792397784038
"3865"	"1"	"cat"	"WOOF"	"cat"	0.253487441752936
"1981"	"1"	"dog"	"MEOW"	"dog"	0.255965557532072
"3649"	"1"	"cat"	"MEOW"	"dog"	0.391427841147557
"2389"	"1"	"dog"	"WOOF"	"cat"	0.40249024632494
"1177"	"1"	"cat"	"WOOF"	"cat"	0.269465623475154
"2377"	"1"	"cat"	"WOOF"	"cat"	0.249134238732357
"2293"	"1"	"dog"	"WOOF"	"cat"	0.371710640498538
"2281"	"1"	"cat"	"WOOF"	"dog"	0.275027994591532
"5413"	"1"	"dog"	"WOOF"	"cat"	0.482385731408147
"2113"	"1"	"cat"	"MEOW"	"cat"	0.673681538014915
"181"	"1"	"dog"	"WOOF"	"cat"	0.21726776427578
"241"	"1"	"cat"	"MEOW"	"dog"	0.262120042733867
"4081"	"1"	"cat"	"MEOW"	"cat"	0.362726743456602
"3937"	"1"	"cat"	"MEOW"	"cat"	0.363660202661113
"433"	"1"	"cat"	"MEOW"	"cat"	0.382706906637081
"109"	"1"	"dog"	"MEOW"	"cat"	0.753607693231407
"4825"	"1"	"cat"	"WOOF"	"cat"	0.231210732034074
"3037"	"1"	"dog"	"MEOW"	"dog"	0.798279365893457
"3217"	"1"	"cat"	"MEOW"	"dog"	0.323026680174597
"2437"	"1"	"dog"	"WOOF"	"cat"	0.327050349826797
"1957"	"1"	"dog"	"WOOF"	"cat"	0.406027464781296
"4477"	"1"	"dog"	"MEOW"	"dog"	0.296409027519837
"2593"	"1"	"cat"	"MEOW"	"dog"	0.608937830850032
"1105"	"1"	"cat"	"MEOW"	"dog"	0.257826981646739
"889"	"1"	"cat"	"WOOF"	"cat"	0.238244069710411
"1849"	"1"	"cat"	"WOOF"	"cat"	0.27945875441651
"3193"	"1"	"cat"	"WOOF"	"cat"	0.221303144989664
"4729"	"1"	"cat"	"WOOF"	"cat"	0.238097961444139
"217"	"1"	"cat"	"WOOF"	"cat"	0.267186130115253
"1921"	"1"	"cat"	"MEOW"	"dog"	0.320873869368491
"3277"	"1"	"dog"	"MEOW"	"dog"	0.509055237448035
"4765"	"1"	"dog"	"MEOW"	"dog"	0.363730425873429
"2653"	"1"	"dog"	"MEOW"	"dog"	0.550513546237352
"1933"	"1"	"dog"	"MEOW"	"cat"	0.232241633170388
"5377"	"1"	"cat"	"MEOW"	"cat"	0.386570616306253
"4705"	"1"	"cat"	"MEOW"	"cat"	0.246128630246649
"5389"	"1"	"dog"	"MEOW"	"dog"	0.342596608672983
"2785"	"1"	"cat"	"MEOW"	"dog"	0.396408017562647
"3313"	"1"	"cat"	"MEOW"	"dog"	0.244738354044564
"1501"	"1"	"dog"	"MEOW"	"dog"	0.575480488216294
"5125"	"1"	"dog"	"WOOF"	"cat"	0.244621994209277
"3949"	"1"	"dog"	"MEOW"	"dog"	0.349656646026102
"1777"	"1"	"cat"	"MEOW"	"dog"	0.253916579217396
"3781"	"1"	"dog"	"WOOF"	"cat"	0.261535098306642
"4501"	"1"	"dog"	"WOOF"	"dog"	0.475560793222377
"4789"	"1"	"dog"	"WOOF"	"dog"	0.282618364537412
"3589"	"1"	"dog"	"WOOF"	"cat"	0.511686698762257
"4321"	"1"	"cat"	"MEOW"	"cat"	0.545262777813277
"1165"	"1"	"dog"	"MEOW"	"cat"	0.423083632617786
"1813"	"1"	"dog"	"WOOF"	"dog"	0.5660092689344
"4861"	"1"	"dog"	"MEOW"	"dog"	0.900680767632084
"4237"	"1"	"dog"	"MEOW"	"cat"	0.762519513546361
"4093"	"1"	"dog"	"MEOW"	"cat"	0.62227791133402
"1669"	"1"	"dog"	"WOOF"	"dog"	0.337590912945781
"5293"	"1"	"dog"	"MEOW"	"dog"	0.364468707886276
"4525"	"1"	"dog"	"MEOW"	"cat"	0.284212742216973
"3997"	"1"	"dog"	"MEOW"	"dog"	0.422548401770228
"1081"	"1"	"cat"	"WOOF"	"cat"	0.318959447494503
"3697"	"1"	"cat"	"MEOW"	"dog"	0.654113995941297
"4921"	"1"	"cat"	"WOOF"	"dog"	0.539108654117246
"3637"	"1"	"dog"	"WOOF"	"dog"	0.369420975567117
"2149"	"1"	"dog"	"WOOF"	"dog"	0.436977865761344
"3661"	"1"	"dog"	"MEOW"	"dog"	0.354011752453898
"3397"	"1"	"dog"	"WOOF"	"dog"	0.527250578667968
"985"	"1"	"cat"	"WOOF"	"dog"	0.31527149189191
"3349"	"1"	"dog"	"WOOF"	"cat"	0.235171971546116
"3385"	"1"	"cat"	"WOOF"	"cat"	0.31206633155641
"1297"	"1"	"cat"	"MEOW"	"dog"	0.556843228685621
"3469"	"1"	"dog"	"MEOW"	"dog"	0.506451133086965
"5197"	"1"	"dog"	"MEOW"	"dog"	0.759353569975798
"3961"	"1"	"cat"	"WOOF"	"cat"	0.344733922743497
"2005"	"1"	"dog"	"WOOF"	"dog"	0.36505848357033
"4129"	"1"	"cat"	"MEOW"	"dog"	0.259255999795394
"4441"	"1"	"cat"	"WOOF"	"cat"	0.256262044154921
"733"	"1"	"dog"	"MEOW"	"dog"	0.288277486194764
"2029"	"1"	"dog"	"MEOW"	"dog"	0.250689518346778
"4417"	"1"	"cat"	"MEOW"	"dog"	0.263216938763656
"409"	"1"	"cat"	"WOOF"	"cat"	0.306330889493029
"5269"	"1"	"dog"	"WOOF"	"dog"	0.965787669162943
"4261"	"1"	"dog"	"WOOF"	"cat"	0.24206142663189
"325"	"1"	"dog"	"WOOF"	"dog"	0.475524431741139
"3733"	"1"	"dog"	"WOOF"	"dog"	0.542569546428273
"3133"	"1"	"dog"	"MEOW"	"dog"	0.365243881141797
"4165"	"1"	"dog"	"WOOF"	"dog"	0.852993028437698
"2353"	"1"	"cat"	"MEOW"	"cat"	0.39692109204574
"1681"	"1"	"cat"	"MEOW"	"cat"	0.275999437813807
"1225"	"1"	"cat"	"WOOF"	"cat"	0.726924287404882
"4657"	"1"	"cat"	"MEOW"	"dog"	0.644103816425983
"3229"	"1"	"dog"	"MEOW"	"dog"	1.01814690967781
"505"	"1"	"cat"	"WOOF"	"cat"	0.219922860120968
"397"	"1"	"dog"	"MEOW"	"cat"	0.37850619548864
"4117"	"1"	"dog"	"WOOF"	"dog"	0.370779267761941
"4213"	"1"	"dog"	"WOOF"	"dog"	0.300499754210374
"3001"	"1"	"cat"	"WOOF"	"cat"	0.584563863137508
"3337"	"1"	"cat"	"WOOF"	"cat"	0.331394761676113
"3973"	"1"	"dog"	"WOOF"	"dog"	0.374231285079325
"1237"	"1"	"dog"	"WOOF"	"dog"	0.416175139617516
"5461"	"1"	"dog"	"WOOF"	"cat"	0.64385258843165
"2413"	"1"	"dog"	"MEOW"	"dog"	0.372843709366508
"5005"	"1"	"dog"	"MEOW"	"dog"	0.78341389203668
"2341"	"1"	"dog"	"WOOF"	"cat"	0.282716554669208
"481"	"1"	"cat"	"MEOW"	"dog"	0.43943236854576
"1717"	"1"	"dog"	"WOOF"	"cat"	0.205520590426935
"5257"	"1"	"cat"	"WOOF"	"cat"	0.237557147014753
"2845"	"1"	"dog"	"MEOW"	"dog"	0.244214144830594
"4693"	"1"	"dog"	"WOOF"	"dog"	0.420639857270645
"493"	"1"	"dog"	"MEOW"	"dog"	0.354343044027807
"3517"	"1"	"dog"	"MEOW"	"dog"	0.301935840839088
"2101"	"1"	"dog"	"WOOF"	"dog"	0.707340213063546
"877"	"1"	"dog"	"MEOW"	"dog"	0.222027179373485
"5437"	"1"	"dog"	"MEOW"	"cat"	0.446014075567435
"2893"	"1"	"dog"	"MEOW"	"cat"	0.515734934692917
"4573"	"1"	"dog"	"MEOW"	"dog"	0.59740391211306
"4429"	"1"	"dog"	"MEOW"	"dog"	0.404487686192951
"1321"	"1"	"cat"	"WOOF"	"cat"	0.257736240551745
"5449"	"1"	"cat"	"WOOF"	"cat"	0.251480990912394
"4681"	"1"	"cat"	"WOOF"	"cat"	0.218349254745133
"2329"	"1"	"cat"	"WOOF"	"cat"	0.550885358046881
"5509"	"1"	"dog"	"WOOF"	"cat"	0.243976837130525
"2965"	"1"	"dog"	"WOOF"	"dog"	0.335299575204124
"1309"	"1"	"dog"	"MEOW"	"dog"	0.305747978893998
"1609"	"1"	"cat"	"WOOF"	"cat"	0.378200066025127
"25"	"1"	"cat"	"WOOF"	"cat"	0.618384023731704
"4813"	"1"	"dog"	"MEOW"	"dog"	0.61284331948881
"3205"	"1"	"dog"	"WOOF"	"cat"	0.225105005685137
"3817"	"1"	"cat"	"WOOF"	"cat"	0.297285189039891
"253"	"1"	"dog"	"MEOW"	"dog"	0.388287633039659
"5305"	"1"	"cat"	"WOOF"	"cat"	0.801773013620966
"3085"	"1"	"dog"	"MEOW"	"dog"	0.235505581388856
"4105"	"1"	"cat"	"WOOF"	"cat"	0.222372760596784
"4717"	"1"	"dog"	"MEOW"	"dog"	1.14312301071839
"1537"	"1"	"cat"	"MEOW"	"cat"	0.443430535593316
"4297"	"1"	"cat"	"WOOF"	"cat"	0.2329905178335
"1357"	"1"	"dog"	"MEOW"	"cat"	0.416079586473979
"3253"	"1"	"dog"	"WOOF"	"dog"	0.284017573530672
"2089"	"1"	"cat"	"WOOF"	"dog"	0.943437605111544
"2581"	"1"	"dog"	"WOOF"	"dog"	0.293624647206258
"3265"	"1"	"cat"	"MEOW"	"dog"	0.318322974861688
"4981"	"1"	"dog"	"WOOF"	"cat"	0.239862029583592
"1549"	"1"	"dog"	"MEOW"	"cat"	0.373996517116835
"661"	"1"	"dog"	"WOOF"	"dog"	0.358778442033705
"2713"	"1"	"cat"	"WOOF"	"cat"	0.396450614357891
"1345"	"1"	"cat"	"MEOW"	"dog"	0.400546057088653
"97"	"1"	"cat"	"MEOW"	"dog"	0.355936741306207
"2917"	"1"	"dog"	"WOOF"	"cat"	0.439071387856956
"2989"	"1"	"dog"	"MEOW"	"cat"	0.397814435092127
"5281"	"1"	"cat"	"MEOW"	"cat"	0.413758383419482
"4285"	"1"	"dog"	"MEOW"	"dog"	0.440110062495424
"5089"	"1"	"cat"	"MEOW"	"cat"	0.306036036380885
"1993"	"1"	"cat"	"WOOF"	"cat"	0.426246532452846
"4309"	"1"	"dog"	"WOOF"	"dog"	0.731534994854148
"4549"	"1"	"dog"	"WOOF"	"cat"	0.474355667532684
"613"	"1"	"dog"	"WOOF"	"dog"	0.449239527846243
"517"	"1"	"dog"	"WOOF"	"dog"	0.352736321451074
"4069"	"1"	"dog"	"WOOF"	"cat"	0.293770756541356
"2833"	"1"	"cat"	"MEOW"	"cat"	0.308936827378587
"4945"	"1"	"cat"	"MEOW"	"dog"	0.410025023974149
"3289"	"1"	"cat"	"WOOF"	"cat"	0.447709227528027
"1969"	"1"	"cat"	"MEOW"	"cat"	0.831594355945761
"5173"	"1"	"dog"	"WOOF"	"dog"	0.298046237009066
"3025"	"1"	"cat"	"MEOW"	"cat"	0.778537176337666
"2905"	"1"	"cat"	"WOOF"	"dog"	0.445567641168137
"4381"	"1"	"dog"	"MEOW"	"cat"	0.251073465549652
"2161"	"1"	"cat"	"MEOW"	"cat"	0.243055191702911
"2173"	"1"	"dog"	"MEOW"	"dog"	0.294605836965977
"1657"	"1"	"cat"	"WOOF"	"cat"	0.504815388427367
"1201"	"1"	"cat"	"MEOW"	"cat"	0.411120619656345
"145"	"1"	"cat"	"MEOW"	"dog"	0.507718434978796
"4405"	"1"	"dog"	"WOOF"	"cat"	0.225441760211089
"1381"	"1"	"dog"	"WOOF"	"cat"	0.299512215732958
"1525"	"1"	"dog"	"WOOF"	"cat"	0.275301218354639
"1033"	"1"	"cat"	"WOOF"	"cat"	0.283829658223236
"3529"	"1"	"cat"	"WOOF"	"cat"	0.27101219252335
"2737"	"1"	"cat"	"MEOW"	"cat"	0.307975403827152
"577"	"1"	"cat"	"MEOW"	"cat"	0.405206309862244
"553"	"1"	"cat"	"WOOF"	"cat"	0.398876268056807
"4249"	"1"	"cat"	"WOOF"	"cat"	0.444225393267616
"3805"	"1"	"dog"	"MEOW"	"dog"	0.284046312736013
"3505"	"1"	"cat"	"MEOW"	"dog"	0.271976455952952
"349"	"1"	"dog"	"MEOW"	"dog"	0.682780787951857
"4345"	"1"	"cat"	"WOOF"	"cat"	0.33282283386316
"5029"	"1"	"dog"	"WOOF"	"cat"	0.734587536817749
"1249"	"1"	"cat"	"MEOW"	"dog"	0.310999314952544
"2185"	"1"	"cat"	"WOOF"	"cat"	0.37500323124716
"4969"	"1"	"cat"	"WOOF"	"cat"	0.22901401972138
"973"	"1"	"dog"	"MEOW"	"dog"	0.25962127507051
"4837"	"1"	"dog"	"WOOF"	"dog"	0.4980329939761
"4225"	"1"	"cat"	"MEOW"	"dog"	0.846176346779007
"793"	"1"	"cat"	"WOOF"	"cat"	0.265664105302512
"3577"	"1"	"cat"	"WOOF"	"cat"	0.357966130169063
"1573"	"1"	"dog"	"WOOF"	"dog"	0.495821854823598
"4561"	"1"	"cat"	"MEOW"	"cat"	0.335292907636587
"4189"	"1"	"dog"	"MEOW"	"dog"	0.403959003833995
"4897"	"1"	"cat"	"MEOW"	"dog"	0.253982376718098
"2245"	"1"	"dog"	"WOOF"	"cat"	0.284214887424375
"3613"	"1"	"dog"	"MEOW"	"dog"	0.295061583283671
"1417"	"1"	"cat"	"WOOF"	"cat"	0.394579595646377
"5353"	"1"	"cat"	"WOOF"	"cat"	0.240825429133649
"49"	"1"	"cat"	"MEOW"	"dog"	0.522621417154255
"4033"	"1"	"cat"	"MEOW"	"cat"	0.327799055678811
"3169"	"1"	"cat"	"MEOW"	"dog"	0.538992698102037
"3841"	"1"	"cat"	"MEOW"	"cat"	0.325141193559406
"5053"	"1"	"dog"	"MEOW"	"cat"	0.301036025578244
"2065"	"1"	"cat"	"MEOW"	"cat"	0.35937866252689
"2401"	"1"	"cat"	"MEOW"	"dog"	0.320901173327244
"2269"	"1"	"dog"	"MEOW"	"cat"	0.351729790875409
"313"	"1"	"cat"	"WOOF"	"cat"	0.330343325632945
"37"	"1"	"dog"	"WOOF"	"cat"	0.25808116820124
"1729"	"1"	"cat"	"MEOW"	"cat"	0.247201247072995
"1153"	"1"	"cat"	"MEOW"	"cat"	0.413426442498284
"637"	"1"	"dog"	"MEOW"	"dog"	0.554869210929911
"1477"	"1"	"dog"	"WOOF"	"cat"	0.370656876446824
"1009"	"1"	"cat"	"MEOW"	"cat"	0.777732908258412
"2197"	"1"	"dog"	"WOOF"	"cat"	0.312514808577169
"3745"	"1"	"cat"	"MEOW"	"cat"	0.282375182493768
"1369"	"1"	"cat"	"WOOF"	"dog"	0.369572673114412
"3673"	"1"	"cat"	"WOOF"	"cat"	0.222888770233683
"2017"	"1"	"cat"	"MEOW"	"cat"	0.508697417939465
"697"	"1"	"cat"	"WOOF"	"cat"	0.340352903249319
"2509"	"1"	"dog"	"MEOW"	"cat"	0.31760745061694
"4957"	"1"	"dog"	"MEOW"	"dog"	0.322951370556127
"229"	"1"	"dog"	"WOOF"	"dog"	0.472701176808134
"2689"	"1"	"cat"	"MEOW"	"cat"	0.502095432708613
"4009"	"1"	"cat"	"WOOF"	"cat"	0.24720085673296
"469"	"1"	"dog"	"WOOF"	"dog"	0.4402656724092
"5149"	"1"	"dog"	"MEOW"	"dog"	0.316540707549388
"829"	"1"	"dog"	"MEOW"	"dog"	0.803808380852662
"2881"	"1"	"cat"	"MEOW"	"dog"	0.445890861175591
"841"	"1"	"cat"	"WOOF"	"cat"	0.275485329730516
"3433"	"1"	"cat"	"WOOF"	"cat"	0.408564750204479
"3709"	"1"	"dog"	"MEOW"	"cat"	0.323287986970264
"1333"	"1"	"dog"	"WOOF"	"cat"	0.631554583538342
"2545"	"1"	"cat"	"MEOW"	"cat"	0.83278850249859
"2701"	"1"	"dog"	"MEOW"	"dog"	0.572543114846995
"1621"	"1"	"dog"	"WOOF"	"cat"	0.327211010824419
"4537"	"1"	"cat"	"WOOF"	"dog"	0.413866802705978
"1429"	"1"	"dog"	"WOOF"	"cat"	0.234597790421107
"1069"	"1"	"dog"	"MEOW"	"dog"	0.351555296051703
"2461"	"1"	"dog"	"MEOW"	"dog"	0.565766219528543
"277"	"1"	"dog"	"WOOF"	"cat"	0.225266982416441
"3493"	"1"	"dog"	"WOOF"	"cat"	0.782008796111354
"3457"	"1"	"cat"	"MEOW"	"cat"	0.794365264529021
"3793"	"1"	"cat"	"MEOW"	"cat"	0.45977121845157
"2041"	"1"	"cat"	"WOOF"	"cat"	0.215147559630478
"1837"	"1"	"dog"	"MEOW"	"dog"	0.448472248429866
"1021"	"1"	"dog"	"MEOW"	"cat"	0.239313949433322
"157"	"1"	"dog"	"MEOW"	"cat"	0.597787889068617
"2533"	"1"	"dog"	"WOOF"	"dog"	0.332720545122775
"1453"	"1"	"dog"	"MEOW"	"dog"	0.268741732156207
"781"	"1"	"dog"	"MEOW"	"dog"	0.64835712945993
"4333"	"1"	"dog"	"MEOW"	"dog"	0.401569559853988
"3721"	"1"	"cat"	"WOOF"	"cat"	0.68299235165455
"73"	"1"	"cat"	"WOOF"	"dog"	0.403289829401187
"3049"	"1"	"cat"	"WOOF"	"cat"	0.382178161791525
"5245"	"1"	"dog"	"MEOW"	"dog"	0.266241630644323
"421"	"1"	"dog"	"WOOF"	"cat"	0.307334817077564
"1561"	"1"	"cat"	"WOOF"	"cat"	0.517797115590438
"4057"	"1"	"cat"	"WOOF"	"cat"	0.798621594423004
"4177"	"1"	"cat"	"MEOW"	"cat"	0.296518593774391
"3121"	"1"	"cat"	"MEOW"	"cat"	0.249339815836885
"85"	"1"	"dog"	"WOOF"	"cat"	0.26230340412119
"2485"	"1"	"dog"	"WOOF"	"cat"	0.223819836038722
"1705"	"1"	"cat"	"WOOF"	"cat"	0.277810724888105
"2473"	"1"	"cat"	"WOOF"	"cat"	0.38512314021889
"4777"	"1"	"cat"	"WOOF"	"cat"	0.226890447476471
"2053"	"1"	"dog"	"WOOF"	"dog"	0.532342346010111
"4513"	"1"	"cat"	"MEOW"	"cat"	0.41083432771839
"2953"	"1"	"cat"	"WOOF"	"cat"	0.2117365432183
"4357"	"1"	"dog"	"WOOF"	"cat"	0.457146031168827
"5185"	"1"	"cat"	"MEOW"	"cat"	0.290614646610117
"1861"	"1"	"dog"	"WOOF"	"cat"	0.38798786719334
"3889"	"1"	"cat"	"MEOW"	"dog"	0.381934371723285
